author;district;street;house_number;underground;floor;floors_count;rooms_count;total_meters;price_per_month;materials
BE HOME;Центральный;Захарьевская;9;Чернышевская;6;6;2;80.0;150000;кирпичный
BE HOME;Адмиралтейский;Союза печатников;18-20;Сенная площадь;4;4;3;100.0;130000;кирпичный
Адвекс;Выборгский;Михаила Дудина;23к1;Парнас;11;25;1;36.0;30000;кирпичный
Soft House Estate;Адмиралтейский;Московский проспект;75;Фрунзенская;3;6;3;75.0;85000;кирпичный
Active Unity;Центральный;набережная Реки Фонтанки;64;Достоевская;4;5;3;200.0;160000;кирпичный
ID 12269700;Петроградский;Большая Монетная;23;Горьковская;6;7;-1;18.0;21650;кирпичный
Golden Home;Калининский;Верности;10К4;Академическая;1;5;1;32.0;45000;кирпичный
Леонид Дмитриев;Центральный;Белинского;11;Гостиный двор;4;6;4;124.2;150000;кирпичный
ID 12269700;Василеостровский;18-я Васильевского острова линия;25;Горный институт;3;6;-1;14.0;20650;кирпичный
Агентство недвижимости Сергея Галлера;Калининский;Брянцева;7к1;Гражданский проспект;11;25;1;37.8;45000;кирпичный
BE HOME;Выборгский;Светлановский проспект;45;Политехническая;7;9;3;57.0;100000;кирпичный
ID 50874333;Фрунзенский;Боровая;88;Обводный канал;2;5;1;25.0;37000;кирпичный
BE HOME;Выборгский;Большой Сампсониевский проспект;70;Лесная;5;12;2;57.0;110000;кирпичный
ID 40542431;Красносельский;Ленинский проспект;67к2;Ленинский проспект;16;16;2;70.0;49900;кирпичный
ID 12269700;Петроградский;Петроградская набережная;26-28;Горьковская;1;5;-1;20.0;20650;кирпичный
Первое Красносельское;Выборгский;проспект Энгельса;22;Пионерская;5;6;2;59.0;38000;кирпичный
Human to Human;Василеостровский;Кожевенная линия;40;Горный институт;3;4;2;69.0;150000;кирпичный
ЭксперТ;Колпинский;Пролетарская;5;Шушары;4;5;1;29.0;15000;кирпичный
Lighthome Real Estate;Адмиралтейский;Галерная;34;Василеостровская;5;8;4;115.0;140000;кирпичный
Наталья Волина;Петроградский;проспект Большой Петроградской стороны;70-72;Петроградская;3;6;3;101.0;400000;кирпичный
ID 11431906;Выборгский;проспект Просвещения;23;Проспект Просвещения;3;15;1;27.0;27000;кирпичный
Golden Home;Адмиралтейский;Казанская;39;Садовая;4;4;2;112.0;120000;кирпичный
NEDmax;Василеостровский;Волховский переулок;4;Спортивная;4;7;3;131.0;160000;кирпичный
Адвекс;Выборгский;Николая Рубцова;5;Парнас;18;26;1;23.0;23000;кирпичный
Golden Home;Кировский;проспект Маршала Жукова;54к1;Ленинский проспект;8;19;2;81.3;120000;кирпичный
Soft House Estate;Московский;Ленсовета;37;Московская;2;5;1;29.8;31000;кирпичный
Инь-Ян;Кировский;Зайцева;17/23;Автово;1;5;1;43.1;27000;кирпичный
Этажи Санкт-Петербург;Центральный;Новгородская;27;Чернышевская;2;6;2;50.0;65000;кирпичный
Golden Home;Центральный;Полтавский проезд;2;Площадь Восстания;6;7;3;101.0;120000;кирпичный
Las Vegas Санкт-Петербург;Адмиралтейский;Рижский проспект;52;Нарвская;2;5;1;45.0;60000;кирпичный
Golden Home;Центральный;Итальянская;11;Невский проспект;3;5;4;170.0;200000;кирпичный
Golden Home;Приморский;набережная Реки Каменки;15к1;Проспект Просвещения;6;25;2;50.0;70000;кирпичный
Royal Realty;Приморский;Оптиков;37;Старая Деревня;3;8;2;43.0;60000;кирпичный
София Фролова;Петроградский;Большая Посадская;12;Горьковская;8;9;2;55.0;120000;кирпичный
Golden Home;Василеостровский;проспект Малый Васильевского острова;90;Приморская;12;17;3;135.0;280000;кирпичный
Этажи Санкт-Петербург;Василеостровский;Гаванская;41;Приморская;3;5;2;69.0;65000;кирпичный
NEDmax;Петроградский;Петровский проспект;5;Спортивная;6;10;3;83.0;245000;кирпичный
