,floor,floors_count,total_meters,distance,district_Адмиралтейский,district_Василеостровский,district_Выборгский,district_Калининский,district_Кировский,district_Колпинский,district_Красногвардейский,district_Красносельский,district_Кронштадтский,district_Курортный,district_Московский,district_Невский,district_Петроградский,district_Петродворцовый,district_Приморский,district_Пушкинский,district_Фрунзенский,district_Центральный,underground_Автово,underground_Адмиралтейская,underground_Академическая,underground_Балтийская,underground_Беговая,underground_Бухарестская,underground_Василеостровская,underground_Владимирская,underground_Волковская,underground_Выборгская,underground_Горный институт,underground_Горьковская,underground_Гостиный двор,underground_Гражданский проспект,underground_Девяткино,underground_Достоевская,underground_Дунайская,underground_Елизаровская,underground_Звездная,underground_Звенигородская,underground_Кировский завод,underground_Комендантский проспект,underground_Крестовский остров,underground_Купчино,underground_Ладожская,underground_Ленинский проспект,underground_Лесная,underground_Лиговский проспект,underground_Ломоносовская,underground_Маяковская,underground_Международная,underground_Московская,underground_Московские ворота,underground_Нарвская,underground_Невский проспект,underground_Новочеркасская,underground_Обводный канал,underground_Обухово,underground_Озерки,underground_Парк Победы,underground_Парнас,underground_Петроградская,underground_Пионерская,underground_Площадь Александра Невского,underground_Площадь Восстания,underground_Площадь Ленина,underground_Площадь Мужества,underground_Политехническая,underground_Приморская,underground_Пролетарская,underground_Проспект Большевиков,underground_Проспект Ветеранов,underground_Проспект Просвещения,underground_Проспект Славы,underground_Пушкинская,underground_Рыбацкое,underground_Садовая,underground_Сенная площадь,underground_Спасская,underground_Спортивная,underground_Старая Деревня,underground_Технологический институт,underground_Удельная,underground_Улица Дыбенко,underground_Фрунзенская,underground_Черная речка,underground_Чернышевская,underground_Чкаловская,underground_Шушары,underground_Электросила,materials_блочный,materials_деревянный,materials_кирпично-монолитный,materials_кирпичный,materials_монолитный,materials_панельный,materials_сталинский,materials_щитовой,room_type_1,room_type_2,room_type_3,room_type_4,room_type_5,room_type_студия
0,6,6,80.0,0.7004563049664138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,4,4,100.0,1.8735402536848227,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2,11,25,36.0,0.3885068166098208,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
3,3,6,75.0,0.22577524638607047,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
4,4,5,200.0,1.3177740442375692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
5,6,7,18.0,0.6389696586868779,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6,1,5,32.0,0.8525048366827238,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
7,4,6,124.2,0.7130352620243223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
8,3,6,14.0,1.3177740442375692,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
9,11,25,37.8,0.7249560528438193,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
